sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0175,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.015,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0125,3555,0.0,0.0,0.0,1.0,0.0
